,WSR0,WSR7,WSR8,WSR9,WSR10,WSR11,WSR12,WSR13,WSR14,WSR15,WSR16,WSR17,WSR18,WSR19,WSR20,WSR21,WSR_PK,WSR_AV,T0,T85,RH85,U85,V85,HT85,T70,RH70,U70,V70,HT70,RH50,U50,V50,KI,TT,SLP,SLP_,Precp,Result
0,0.8,1.7,1.9,2.3,3.7,5.5,5.1,5.4,5.4,4.7,4.3,3.5,3.5,2.9,3.2,3.2,5.5,3.1,5.2,6.7,0.11,3.83,0.14,1612.0,-2.3,0.3,7.18,0.12,3178.5,0.15,10.67,-1.56,-12.1,17.9,10330.0,-55.0,0.0,0.0
1,2.8,2.8,3.1,3.4,4.2,4.5,4.5,4.3,5.5,5.1,3.8,3.0,2.6,3.0,2.2,2.3,5.5,3.4,15.1,9.0,0.25,-0.41,9.53,1594.5,-2.2,0.96,8.24,7.3,3172.0,0.48,8.39,3.84,14.05,29.0,10275.0,-55.0,0.0,0.0
2,2.9,2.7,2.2,2.5,3.1,4.0,4.4,4.6,5.6,5.4,5.2,4.4,3.5,2.7,2.9,3.9,5.6,3.5,16.6,9.0,0.56,0.89,10.17,1568.5,0.9,0.54,3.8,4.42,3160.0,0.6,6.94,9.8,17.9,41.3,10235.0,-40.0,0.0,0.0
3,4.7,2.5,2.4,3.1,3.3,3.1,2.3,2.1,2.2,3.8,2.8,2.4,1.9,3.2,4.1,3.9,4.7,3.2,18.3,9.9,0.89,-0.34,8.58,1546.5,3.0,0.77,4.17,8.11,3145.5,0.49,8.73,10.54,31.15,51.7,10195.0,-40.0,2.08,0.0
4,2.6,1.4,1.3,1.4,2.2,2.0,3.0,3.0,3.1,3.1,2.7,3.0,2.4,2.8,2.5,2.5,3.7,2.3,18.8,13.575297741273102,0.5773198847262248,2.1364868309260827,1.662463891248938,1531.4942599425995,5.931128965801401,0.4064448119057462,5.459633992427429,0.9940008413967186,3145.420501232539,0.3047156496471565,9.872418244406196,0.8301161790017213,10.511050875729774,37.38833540888336,10164.19844198442,-0.11994949494949494,0.58,0.0
5,3.1,1.6,2.3,1.8,2.5,3.9,3.4,2.7,3.4,2.5,2.2,4.4,4.3,3.2,6.2,6.8,6.8,3.2,18.9,14.4,0.68,1.52,8.62,1499.5,4.3,0.61,9.04,10.81,3111.0,0.09,11.98,11.28,27.95,46.25,10120.0,-0.11994949494949494,5.84,0.0
6,3.7,6.4,6.3,5.4,6.1,6.4,6.1,5.8,6.2,6.2,5.5,4.8,5.5,6.1,5.0,3.1,7.0,5.2,15.6,12.6,0.98,0.48,7.46,1413.0,4.6,0.53,13.36,15.34,3027.5,0.84,6.86,25.6,26.75,48.45,10040.0,-80.0,0.18,0.0
7,2.2,4.9,5.2,6.0,5.9,6.1,6.8,6.3,6.3,6.4,5.7,3.6,1.5,0.7,0.0,0.0,6.8,3.9,5.5,3.35,0.73,16.14,4.53,1382.5,-2.45,0.08,18.29,8.03,2933.0,0.2,19.22,18.21,-10.1,42.0,10065.0,25.0,0.0,0.0
8,1.0,1.4,1.5,2.1,2.6,3.2,3.1,3.9,4.1,3.6,3.4,3.0,2.9,2.5,1.9,2.0,4.1,2.1,5.1,3.9,0.38,13.04,-4.23,1433.5,-1.95,0.21,15.25,-5.78,2993.0,0.51,9.872418244406196,0.8301161790017213,-3.4,32.9,10120.0,55.0,0.0,0.0
9,0.9,0.6,1.3,1.5,2.8,3.3,3.1,2.7,2.9,3.3,2.7,2.1,2.0,1.8,1.8,1.8,3.3,1.7,11.8,7.1,0.23,5.29,0.8,1507.5,-3.0,0.16,10.14,0.09,3073.5,0.08,18.51,-0.88,-7.9,30.5,10180.0,60.0,0.0,0.0
